id,profile_title,user_id,grinder,grinderBrand,grinderModel,grind,grindScale,roastLevel,beanAge,dose,volumeTarget,actualVolume,timeTarget,actualTime,humidity,waterTempC,tampPressureKg
1d971b8f-7d41-4124-8a9d-0fd8b9b6226a,Damian's LRv2,773d8e11-fe96-42f6-b9a1-fd043ed3a10e,Kafatek_MC6 Kones Mk2,Kafatek,MC6 Kones Mk2,12.8,,Medium,,13.2,,36,,32.762,,,
d7f34400-8bd3-4429-b9fd-e74b3a73dc1e,intelligentsia,d9c727cb-b510-485b-9f94-e1fe4a4f5270,,,,15,,medium,,19,,42.9,,34.251,,,
c6cffafb-3362-4520-a260-5f579d573014,Adaptive v2,a06357a6-b6e2-4afc-8eaa-a5fa9a576df9,zerno_z1 46mm graph basket,zerno,z1 46mm graph basket,275,,medium light 2/5,,23,,50.6,,39.792,,,
e4b56c81-1068-40aa-b495-9613980763b0,Visualizer/Baseline MC,fcd851a2-dfdf-4b12-ad72-de06da1ac185,MC6_80/40 VST Basket,MC6,80/40 VST Basket,11,,Medium,,18,,39.4,,20.686,,,
724d3627-d98e-4d92-ad2d-f6e1d0fccdc8,Cremina lever machine,f13b2cec-d9ee-46eb-9249-e81689d58e01,,,,0,,,,18,,45.4,,37.937,,,
f2f036e7-68d3-4a80-b97b-6bb7c96aa5f1,A-Flow / default-light,3abd8655-6132-47b9-9a06-a9274eb06b18,Kafatek_MC4 Shurikone,Kafatek,MC4 Shurikone,19.5,,Medium-Light,,18.2,,50.2,,22.912,,,
27570d99-bfa2-45b6-a905-8c509bd48f59,Damian's LRv3,8c5572bb-ee18-4b85-8c04-3f7598b6360b,Mazzer_Philos,Mazzer,Philos,24,,medium,,18.3,,39.3,,31.685,,,
a2b69bf4-1fc0-480c-b34f-2bd3663576dd,intelligentsia,d9c727cb-b510-485b-9f94-e1fe4a4f5270,,,,15,,medium,,19,,37.7,,18.786,,,
a6dd8c71-9f9b-41a6-9a2f-852b6eb264f6,Visualizer/Baseline ULC,ff433b90-ac1e-418f-97da-75ad861724eb,1,1,,50,,Light,,17.9,,45.7,,10,,,
e736e97c-6c0b-461b-8e83-e3e5785c38dc,Saved,f1690686-d5d3-482c-aee1-c96f3b0734eb,Lagom_P100,Lagom,P100,2.1,,Medium Dark,,18,,42.5,,20.458,,,
6375bced-9cb7-4b80-a46a-de9050312438,Vesuvius,1b34d54f-5841-4eee-bba4-ef77e1230c84,Niche_Zero,Niche,Zero,4.8,,UNKNOWN,,13.4,,29.7,,29.963,,,
3ae003bc-2710-49b2-879a-6c167b09a8c5,TurboTurbo M,43c3f16b-e16f-4e14-950f-db5defd85ab3,,,,0.1,,,,18,,34.4,,11.474,,,
75513bdc-695b-4613-a2c8-62f6b2578585,Extractamundo Dos!,3359f912-65a5-4aef-916d-d8cc8f2d9fe6,Lagom_P100 - HU,Lagom,P100 - HU,0.8,,Light,,18,,40.5,,16.48,,,
d0060410-c33a-428e-a5bb-854fc31e8554,Best overall pressure profile,68b8f7f9-be0f-46c4-b4fd-466fb371265d,,,,0,,,,18,,42.3,,47.346,,,
920d4495-d41f-4aae-b4c9-9a24caa391e9,"Cremina lever machine 1,3",adcd4bb5-84af-460a-bbb3-dff7101939d0,Lagom_Casa 65,Lagom,Casa 65,93,,Light,,19,,58.5,,26.053,,,
35342866-f6a3-430c-b57e-a474e8e8632e,Damian's LRv3 36g,e9fa29b8-90eb-40d6-8988-e616bacd6fb3,Niche_Zero OG,Niche,Zero OG,15,,,,18,,36.2,,33.569,,,
081ef3e9-3607-4c9d-bfde-d5692d81db76,E61 with fast preinfusion to 9 bar,b7dbb68a-29ea-49a3-b017-1be2f5c3cf6c,,,,12,,,,16,,33.3,,21.072,,,
